id,country,recency,frequency,monetary,r,f,m,rfm_score,fm,segment
600018,CN,29,7,21402.78,4,4,5,445,4,loyal customers
600060,CN,155,1,1201.14,2,1,2,212,1,lost
600462,CN,211,2,2033.64,2,2,2,222,2,hibernating
600888,CN,8,3,2335.80,5,3,3,533,3,potential loyalists
601014,CN,225,1,230.52,2,1,1,211,1,lost
601236,CN,15,1,1559.34,5,1,2,512,1,new customers
601284,CN,22,2,2378.28,4,2,3,423,2,potential loyalists
601290,CN,302,1,257.58,1,1,1,111,1,lost
601524,CN,78,2,11880.60,3,2,4,324,3,need attention
601566,CN,274,4,15514.38,1,3,5,135,4,at risk
601668,CN,267,2,2428.44,1,2,3,123,2,lost
601872,CN,29,10,2066.94,4,5,2,452,3,potential loyalists
602004,CN,8,2,2630.04,5,2,3,523,2,potential loyalists
602046,CN,1,39,107450.10,5,5,5,555,5,champions
602346,CN,106,3,14798.34,3,3,5,335,4,loyal customers
602466,CN,29,1,5885.70,4,1,4,414,2,potential loyalists
603072,CN,344,1,382.56,1,1,1,111,1,lost
603588,CN,281,2,4801.74,1,2,3,123,2,lost
603846,CN,169,1,624.48,2,1,1,211,1,lost
603936,CN,15,1,392.10,5,1,1,511,1,new customers
604476,CN,57,11,18284.64,3,5,5,355,5,loyal customers
604770,CN,162,1,9152.10,2,1,4,214,2,hibernating
605262,CN,22,2,4608.54,4,2,3,423,2,potential loyalists
605724,CN,365,1,1527.30,1,1,2,112,1,lost
605862,CN,1,8,6173.58,5,4,4,544,4,loyal customers
606150,CN,15,12,27520.20,5,5,5,555,5,champions
606570,CN,50,26,12295.68,4,5,4,454,4,loyal customers
607218,CN,8,101,135720.36,5,5,5,555,5,champions
607524,CN,85,1,129.18,3,1,1,311,1,about to sleep
607590,CN,92,3,2158.68,3,3,2,332,2,about to sleep
607740,CN,8,4,13984.74,5,3,5,535,4,loyal customers
607926,CN,295,1,74.28,1,1,1,111,1,lost
607968,CN,162,2,12281.04,2,2,4,224,3,at risk
608190,CN,134,4,4139.46,2,3,3,233,3,at risk
608760,CN,78,4,20494.32,3,3,5,335,4,loyal customers
608808,CN,64,5,11723.10,3,4,4,344,4,loyal customers
609096,CN,344,1,1239.60,1,1,2,112,1,lost
609180,CN,99,10,6027.30,3,5,4,354,4,loyal customers
609396,CN,15,2,3721.26,5,2,3,523,2,potential loyalists
609486,CN,288,2,11482.56,1,2,4,124,3,at risk
609516,CN,29,4,4828.38,4,3,3,433,3,potential loyalists
609810,CN,78,2,1312.68,3,2,2,322,2,about to sleep
609822,CN,316,1,728.28,1,1,1,111,1,lost
609984,CN,351,1,1215.66,1,1,2,112,1,lost
610170,CN,22,6,6651.54,4,4,4,444,4,loyal customers
610278,CN,50,5,3579.24,4,4,3,443,3,potential loyalists
610350,CN,246,1,691.86,1,1,1,111,1,lost
611532,CN,1,7,7327.02,5,4,4,544,4,loyal customers
611646,CN,239,3,4882.80,2,3,4,234,3,at risk
611718,CN,190,3,742.14,2,3,1,231,2,hibernating
611820,CN,85,3,22626.12,3,3,5,335,4,loyal customers
611844,CN,22,1,1196.70,4,1,2,412,1,promising
611946,CN,316,1,189.72,1,1,1,111,1,lost
